p_x,p_z,logical_error_rate,avg_syndrome_weight,click_rate
5.000000e-04,5.000000e-04,0.000000e+00,3.751300e+00,9.040000e-01
6.608104e-04,6.608104e-04,0.000000e+00,4.966700e+00,9.518000e-01
8.733407e-04,8.733407e-04,0.000000e+00,6.522000e+00,9.846000e-01
1.154225e-03,1.154225e-03,0.000000e+00,8.643100e+00,9.971000e-01
1.525448e-03,1.525448e-03,0.000000e+00,1.136580e+01,9.996000e-01
2.016064e-03,2.016064e-03,0.000000e+00,1.500100e+01,9.999000e-01
2.664471e-03,2.664471e-03,2.000000e-04,1.974960e+01,1.000000e+00
3.521421e-03,3.521421e-03,6.000000e-04,2.592130e+01,1.000000e+00
4.653982e-03,4.653982e-03,5.000000e-04,3.413870e+01,1.000000e+00
6.150800e-03,6.150800e-03,1.800000e-03,4.456720e+01,1.000000e+00
8.129024e-03,8.129024e-03,4.200000e-03,5.829330e+01,1.000000e+00
1.074349e-02,1.074349e-02,1.090000e-02,7.596770e+01,1.000000e+00
1.419882e-02,1.419882e-02,2.210000e-02,9.867290e+01,1.000000e+00
1.876545e-02,1.876545e-02,4.590000e-02,1.274207e+02,1.000000e+00
2.480081e-02,2.480081e-02,9.870000e-02,1.632641e+02,1.000000e+00
3.277726e-02,3.277726e-02,1.898000e-01,2.075111e+02,1.000000e+00
4.331910e-02,4.331910e-02,3.292000e-01,2.608350e+02,1.000000e+00
5.725143e-02,5.725143e-02,4.449000e-01,3.225412e+02,1.000000e+00
7.566467e-02,7.566467e-02,4.895000e-01,3.933737e+02,1.000000e+00
1.000000e-01,1.000000e-01,4.922000e-01,4.701957e+02,1.000000e+00
